paintingId,painting_name,artist,date,painting_style,painting_genre
1_0139,Portrait d'Elise Voïant,Constance Mayer,1811,Rococo,['Portrait']
1_0148,Portrait de jeune femme au boa,François Gérard,Circa 1810,,
1_0191,La Nativité,Noël Coypel,1667-1668,Baroque,"['History painting', 'Religious painting']"
1_0228,La Déposition de croix,Anonyme Français,17th century,Baroque,"['History painting', 'Religious painting']"
1_0230,L'Enlèvement des Sabines,Claude Déruet,Circa 1640-4650,Baroque,"['History painting', 'Nude painting']"
1_0241,La Charité,Philippe de Champaigne,Circa 1635-1636,Baroque,"['History painting', 'Religious painting']"
1_5872,Les Lamentations sur le Christ mort,Jacque de Bellange,Circa 1602-1604,Baroque,"['History painting', 'Religious painting']"
1_0368,L'Annonciation,Federico Barocci,Circa 1596-1612,Renaissance,"['History painting', 'Religious painting']"
1_0385,Isaac envoie Esaü à la chasse,Johann Ulrich Loth,After 1637,Baroque,"['History painting', 'Portrait']"
1_5845,La Femme à la puce,Georges de la Tour,Circa 1632-1635,Baroque,"['Portrait', 'Nude painting']"
1_5846,Le Souffleur à la pipe,D'après Georges de la Tour,17th century,Baroque,"['Portrait', 'Nude painting']"
1_0365,Archange,Il Volterrano/ Franceschini Baldassare,After 1650,Baroque,"['History painting', 'Religious painting']"
2_2904,Laissez venir à moi les petits enfants,Pieter Pietersz,Circa 1580-1590,Renaissance,"['Portrait', 'Nude painting']"
2_0417,Ne me touche pas,"Jan II Brueghel, le jeune",After 1625,Baroque,"['Landscape', 'History painting']"
2_2928,Jonas jeté à la mer,Pierre-Paul Rubens,Circa 1618,Baroque,"['History painting', 'Portrait']"
0_0571,Vues d'architectures 1,Lucien Hervé,Undated,Modern Art,"['Landscape', 'Cityscape']"
0_0720,La Veillée,Edouard Pignon,1937,Expressionism,"['Landscape', 'History painting']"
0_0785,Paysage,Francis Gruber,1935,Expressionism,['Landscape']
0_0813,"Ighil n'oro, le Mellah",Jacques Majorelle,1922,Art Nouveau,"['Landscape', 'Nature morte']"
0_0350,L'Automne,Charles Peccatte,Before 1903,Romanticism,"['Landscape', 'Nature morte']"
1_5886,Esquisse de plafond,Jean Girardet,18th century,Rococo,"['History painting', 'Illustration']"
1_0097,Architecture en ruine avec Jupiter tonnant,Gherardo Poli,Circa 1730,Rococo,"['History painting', 'Landscape']"
1_0189,L'Annonciation,Charles-Antoine Coypel,1738,Rococo,"['History painting', 'Religious painting']"
1_0305,Fleurs et tapis,Jean-Baptiste Monnoyer,After 1665,Rococo,"['Nature morte', 'Landscape']"
1_0307,Memento Mori,Nicolas-Henry Jeaurat de Bertry,After 1756,Rococo,"['History painting', 'Portrait']"
