floorNumber_start,paintingId,user_id,duration_seconds,painting_name,artist,date,art_knowledge,art_involvement,visit_rate
1,1_5896,User_2,14.2,Portrait de Guilbert de Pixerécourt,Sophie Bertaud-Cheradame,1822,Low level,No involvement,A few times a year
1,1_0139,User_2,16.26,Portrait d'Elise Voïant,Constance Mayer,1811,Low level,No involvement,A few times a year
1,1_0148,User_2,4.19,Portrait de jeune femme au boa,François Gérard,Circa 1810,Low level,No involvement,A few times a year
1,1_0082,User_2,16.42,Le Jour ou Le Triomphe d'Apollon,Gregorio Guglielmi,Circa 1767-1768,Low level,No involvement,A few times a year
1,1_0178,User_2,13.15,L'Ivresse de Silène,Carle Van Loo,1747,Low level,No involvement,A few times a year
1,1_0187,User_2,9.19,La destruction du palais d'Armide,Charles-Antoine Coypel,1737,Low level,No involvement,A few times a year
1,1_0191,User_2,6.33,La Nativité,Noël Coypel,1667-1668,Low level,No involvement,A few times a year
1,1_0235,User_2,71.4,Portrait équestre de Madame de Saint-Baslemont,Claude Déruet,1646,Low level,No involvement,A few times a year
1,1_0228,User_2,29.3,La Déposition de croix,Anonyme Français,17th century,Low level,No involvement,A few times a year
1,1_0230,User_2,24.46,L'Enlèvement des Sabines,Claude Déruet,Circa 1640-4650,Low level,No involvement,A few times a year
1,1_0241,User_2,8.17,La Charité,Philippe de Champaigne,Circa 1635-1636,Low level,No involvement,A few times a year
1,1_0266,User_2,2.47,Le Pape Alexandre VII porté à la procession du Corpus Domini,Giovanni Maria Morandi,Circa 1657,Low level,No involvement,A few times a year
1,1_5872,User_2,16.97,Les Lamentations sur le Christ mort,Jacque de Bellange,Circa 1602-1604,Low level,No involvement,A few times a year
1,1_0379,User_2,41.54,La Transfiguration,Pierre-Paul Rubens,1604-1605,Low level,No involvement,A few times a year
1,1_0368,User_2,5.17,L'Annonciation,Federico Barocci,Circa 1596-1612,Low level,No involvement,A few times a year
1,1_0385,User_2,2.72,Isaac envoie Esaü à la chasse,Johann Ulrich Loth,After 1637,Low level,No involvement,A few times a year
1,1_5845,User_2,32.04,La Femme à la puce,Georges de la Tour,Circa 1632-1635,Low level,No involvement,A few times a year
1,1_5846,User_2,11.75,Le Souffleur à la pipe,D'après Georges de la Tour,17th century,Low level,No involvement,A few times a year
1,1_0365,User_2,6.71,Archange,Il Volterrano/ Franceschini Baldassare,After 1650,Low level,No involvement,A few times a year
1,1_0379,User_2,10.01,La Transfiguration,Pierre-Paul Rubens,1604-1605,Low level,No involvement,A few times a year
2,2_2917,User_2,23.14,Les Compteurs d'argent,Marinus Van Roejmerswalen,Late 16th century,Low level,No involvement,A few times a year
2,2_2904,User_2,3.54,Laissez venir à moi les petits enfants,Pieter Pietersz,Circa 1580-1590,Low level,No involvement,A few times a year
2,2_0417,User_2,4.66,Ne me touche pas,"Jan II Brueghel, le jeune",After 1625,Low level,No involvement,A few times a year
2,2_2928,User_2,8.87,Jonas jeté à la mer,Pierre-Paul Rubens,Circa 1618,Low level,No involvement,A few times a year
0,0_0570,User_3,17.95,Sans titre,André Cadéré,1969,Low level,No involvement,A few times a year
0,0_0571,User_3,12.37,Vues d'architectures 1,Lucien Hervé,Undated,Low level,No involvement,A few times a year
0,0_0678,User_3,20.65,Dante et Virgile,Gérard Garouste,1986,Low level,No involvement,A few times a year
0,0_0680,User_3,8.39,"DIJ VII - VI 1,2,3",Julije Knifer,1990,Low level,No involvement,A few times a year
0,0_0720,User_3,3.96,La Veillée,Edouard Pignon,1937,Low level,No involvement,A few times a year
0,0_0772,User_3,29.28,Autoportrait,Francis Gruber,1942,Low level,No involvement,A few times a year
0,0_0779,User_3,9.92,l'hommage à Callot,Francis Gruber,1942,Low level,No involvement,A few times a year
0,0_0776,User_3,14.78,Paysage d'Aix-en-Provence,Francis Gruber,1935,Low level,No involvement,A few times a year
0,0_0783,User_3,10.06,Pegeen dans son atelier,Jean Hélion,1954,Low level,No involvement,A few times a year
0,0_0785,User_3,6.85,Paysage,Francis Gruber,1935,Low level,No involvement,A few times a year
0,0_0334,User_3,9.71,Paysage,Max Pechstein,1912,Low level,No involvement,A few times a year
0,0_0813,User_3,5.66,"Ighil n'oro, le Mellah",Jacques Majorelle,1922,Low level,No involvement,A few times a year
0,0_0815,User_3,10.06,"Le souk aux tapis, Marrakech",Jacques Majorelle,1924,Low level,No involvement,A few times a year
0,0_0829,User_3,8.64,Pierrotins,Georges Rouault,Circa 1932,Low level,No involvement,A few times a year
0,0_0731,User_3,8.38,Pipe d'eau douce,Etienne Cournault,1927,Low level,No involvement,A few times a year
0,0_0894,User_3,34.68,Travaux de nuit sur la voie publique,Luigi Loir,1902,Low level,No involvement,A few times a year
0,0_0890,User_3,26.89,Les Voluptueux,Victor Prouvé,1889,Low level,No involvement,A few times a year
0,0_0859,User_3,28.81,Dans la forêt,Pascal-Adolphe-Jean Dagnan-Bouveret,1892,Low level,No involvement,A few times a year
0,0_0869,User_3,43.77,La douleur,Emile Friant,1898,Low level,No involvement,A few times a year
0,0_0861,User_3,22.11,La Toussaint,Emile Friant,1888,Low level,No involvement,A few times a year
0,0_0841,User_3,2.72,Les Amoureux,Emile Friant,1888,Low level,No involvement,A few times a year
0,0_0962,User_3,16.38,Après-midi à Pardigon,Henri-Edmond Cross,1907,Low level,No involvement,A few times a year
0,0_0350,User_3,5.09,L'Automne,Charles Peccatte,Before 1903,Low level,No involvement,A few times a year
0,0_0353,User_3,10.67,Coin de jardin,Jules Antoine Voirin,19th century,Low level,No involvement,A few times a year
0,0_0865,User_3,53.32,La Toussaint,Sylvain Lang,2007,Low level,No involvement,A few times a year
1,1_0976,User_3,16.99,Soir de 14 juillet,Charles Wittman,1910,Low level,No involvement,A few times a year
1,1_0978,User_3,13.32,Job,Jules Bastien-Lepage,Circa 1876-1877,Low level,No involvement,A few times a year
1,1_0981,User_3,9.04,Portrait d'Emile Bastien-Lepage,Jules Bastien-Lepage,Undated,Low level,No involvement,A few times a year
1,1_0985,User_3,14.32,Les jours heureux/L'enfant endormi ,Emile Friant,1895,Low level,No involvement,A few times a year
1,1_0987,User_3,5.92,Les jours heureux/L'enfant couronné de fleurs ,Emile Friant,1895,Low level,No involvement,A few times a year
1,1_0014,User_3,6.04,Portrait de Charles Cartier-Bresson,Jean-Matthias Schiff,After 1921,Low level,No involvement,A few times a year
1,1_5775,User_3,11.33,Panneau décoratif ovale : deux dragons gardant la perle sacrée,Anonyme,Undated,Low level,No involvement,A few times a year
1,1_5917,User_3,17.25,Repos d'Arabes,Charles-Théodore Frère,1848,Low level,No involvement,A few times a year
1,1_0078,User_3,27.59,Retour de chasse au lion,Aimé-Nicolas Morot,1902,Low level,No involvement,A few times a year
1,1_0058,User_3,24.6,Soir d'automne en forêt (Ile-et-Vilaine),Jean-Henri Zuber,1878,Low level,No involvement,A few times a year
1,1_5928,User_3,41.58,Ellipse orange évidée par sept disques,Felice Varini,2000,Low level,No involvement,A few times a year
1,1_0074,User_3,43.21,Médée,Henri Klagmann,1868,Low level,No involvement,A few times a year
1,1_5894,User_3,8.32,Paysanne italienne et son enfant,Louis-Stanislas Faivre-Duffer,1846,Low level,No involvement,A few times a year
1,1_0141,User_3,3.82,Anne et Jehanne,Laura Leroux-Revault,Circa 1894,Low level,No involvement,A few times a year
1,1_5896,User_3,9.99,Portrait de Guilbert de Pixerécourt,Sophie Bertaud-Cheradame,1822,Low level,No involvement,A few times a year
1,1_0139,User_3,19.9,Portrait d'Elise Voïant,Constance Mayer,1811,Low level,No involvement,A few times a year
1,1_0148,User_3,10.02,Portrait de jeune femme au boa,François Gérard,Circa 1810,Low level,No involvement,A few times a year
1,1_0082,User_3,17.21,Le Jour ou Le Triomphe d'Apollon,Gregorio Guglielmi,Circa 1767-1768,Low level,No involvement,A few times a year
1,1_5886,User_3,2.5,Esquisse de plafond,Jean Girardet,18th century,Low level,No involvement,A few times a year
1,1_0097,User_3,7.32,Architecture en ruine avec Jupiter tonnant,Gherardo Poli,Circa 1730,Low level,No involvement,A few times a year
1,1_0178,User_3,8.15,L'Ivresse de Silène,Carle Van Loo,1747,Low level,No involvement,A few times a year
1,1_0174,User_3,1.75,Le repos de Diane,Jean-François de Troy,1726,Low level,No involvement,A few times a year
1,1_0178,User_3,8.56,L'Ivresse de Silène,Carle Van Loo,1747,Low level,No involvement,A few times a year
1,1_0187,User_3,12.64,La destruction du palais d'Armide,Charles-Antoine Coypel,1737,Low level,No involvement,A few times a year
1,1_0189,User_3,7.28,L'Annonciation,Charles-Antoine Coypel,1738,Low level,No involvement,A few times a year
1,1_0230,User_3,45.66,L'Enlèvement des Sabines,Claude Déruet,Circa 1640-4650,Low level,No involvement,A few times a year
1,1_0228,User_3,29.1,La Déposition de croix,Anonyme Français,17th century,Low level,No involvement,A few times a year
1,1_0235,User_3,7.53,Portrait équestre de Madame de Saint-Baslemont,Claude Déruet,1646,Low level,No involvement,A few times a year
1,1_0241,User_3,16.78,La Charité,Philippe de Champaigne,Circa 1635-1636,Low level,No involvement,A few times a year
1,1_5872,User_3,11.5,Les Lamentations sur le Christ mort,Jacque de Bellange,Circa 1602-1604,Low level,No involvement,A few times a year
1,1_0305,User_3,4.86,Fleurs et tapis,Jean-Baptiste Monnoyer,After 1665,Low level,No involvement,A few times a year
1,1_0379,User_3,13.74,La Transfiguration,Pierre-Paul Rubens,1604-1605,Low level,No involvement,A few times a year
1,1_0379,User_3,121.34,La Transfiguration,Pierre-Paul Rubens,1604-1605,Low level,No involvement,A few times a year
1,1_0368,User_3,1.1,L'Annonciation,Federico Barocci,Circa 1596-1612,Low level,No involvement,A few times a year
1,1_5845,User_3,30.16,La Femme à la puce,Georges de la Tour,Circa 1632-1635,Low level,No involvement,A few times a year
1,1_5846,User_3,4.8,Le Souffleur à la pipe,D'après Georges de la Tour,17th century,Low level,No involvement,A few times a year
1,1_0187,User_3,6.33,La destruction du palais d'Armide,Charles-Antoine Coypel,1737,Low level,No involvement,A few times a year
1,1_0307,User_3,1.54,Memento Mori,Nicolas-Henry Jeaurat de Bertry,After 1756,Low level,No involvement,A few times a year
2,2_0527,User_3,2.45,Déposition de croix avec Joseph d'Arimthie,Maître du Saint-Sang,First quarter of the 16th century,Low level,No involvement,A few times a year
2,2_2917,User_3,12.66,Les Compteurs d'argent,Marinus Van Roejmerswalen,Late 16th century,Low level,No involvement,A few times a year
0,0_5830,User_3,2.58,Les grands Trans-parents,Man Ray,1971,Low level,No involvement,A few times a year
0,0_0720,User_4,15.12,La Veillée,Edouard Pignon,1937,General level,No involvement,A few times a year
0,0_0779,User_4,3.11,l'hommage à Callot,Francis Gruber,1942,General level,No involvement,A few times a year
0,0_0776,User_4,11.5,Paysage d'Aix-en-Provence,Francis Gruber,1935,General level,No involvement,A few times a year
0,0_0789,User_4,7.77,Paysage de neige,André Marchand,1940,General level,No involvement,A few times a year
0,0_0801,User_4,5.12,Manège des chevaux de bois,Louis Valtat,Circa 1895-1896,General level,No involvement,A few times a year
0,0_0803,User_4,14.18,"La Seine au Pont-Neuf, effet de brouillard",Albert Marquet,1906,General level,No involvement,A few times a year
0,0_0337,User_4,5.8,Paysage de provence,André Derain,1921-1924,General level,No involvement,A few times a year
0,0_0809,User_4,4.8,Sainte-Adresse. Nuit,Raoul Dufy,Circa 1924-1925,General level,No involvement,A few times a year
0,0_0807,User_4,6.4,Sainte-Adresse. Jour,Raoul Dufy,Circa 1924-1925,General level,No involvement,A few times a year
0,0_0841,User_4,19.31,Les Amoureux,Emile Friant,1888,General level,No involvement,A few times a year
0,0_0843,User_4,7.06,Après l'enterrement,Camille Martin,1889,General level,No involvement,A few times a year
0,0_0869,User_4,32.64,La douleur,Emile Friant,1898,General level,No involvement,A few times a year
0,0_0861,User_4,33.59,La Toussaint,Emile Friant,1888,General level,No involvement,A few times a year
0,0_0859,User_4,19.24,Dans la forêt,Pascal-Adolphe-Jean Dagnan-Bouveret,1892,General level,No involvement,A few times a year
